Year,Stage,stage_num,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,home_win,rank_diff,team1_win_rate,team2_win_rate,head_to_head,team1_avg_goals,team2_avg_goals,team1_is_host,coach_exp_diff,team1_conf,team2_conf,team1_conf_strength,team2_conf_strength,conf_strength_diff,team1_recent_form,team2_recent_form,form_diff
1998,Group H,0,Argentina,Jamaica,5,0,1,-28,0.7142857142857143,0.5,0.5,2.6,1.5,0,1,CONMEBOL,CONCACAF,0.58,0.38,0.19999999999999996,0.7,0.8,-0.10000000000000009
1998,Group H,0,Argentina,Japan,1,0,1,-15,0.7142857142857143,0.0,0.5,2.6,0.5,0,0,CONMEBOL,AFC,0.58,0.35,0.22999999999999998,0.7,0.6,0.09999999999999998
1998,Group H,0,Jamaica,Croatia,1,3,0,29,0.5,0.6666666666666666,0.5,1.5,2.0,0,-2,CONCACAF,UEFA,0.38,0.54,-0.16000000000000003,0.8,0.6,0.20000000000000007
1998,Group H,0,Japan,Croatia,0,1,0,16,0.0,0.6666666666666666,0.5,0.5,2.0,0,-1,AFC,UEFA,0.35,0.54,-0.19000000000000006,0.6,0.6,0.0
1998,Match for third place,4,Netherlands,Croatia,1,2,0,7,0.625,0.6666666666666666,0.5,1.4,2.0,0,-1,UEFA,UEFA,0.54,0.54,0.0,0.75,0.6,0.15000000000000002
1998,Group G,0,Colombia,England,0,2,0,25,0.4,0.5,0.5,1.0,1.5,0,0,CONMEBOL,UEFA,0.58,0.54,0.039999999999999925,0.45,0.85,-0.39999999999999997
1998,Quarter-finals,3,Germany,Croatia,0,3,0,-1,0.7142857142857143,0.6666666666666666,0.5,1.6,2.0,0,-2,UEFA,UEFA,0.54,0.54,0.0,0.85,0.6,0.25
1998,Semi-finals,4,France,Croatia,2,1,1,-2,1.0,0.6666666666666666,0.5,2.4,2.0,1,1,UEFA,UEFA,0.54,0.54,0.0,0.7,0.6,0.09999999999999998
1998,Round of 16,2,Romania,Croatia,0,1,0,8,0.8333333333333334,0.6666666666666666,0.5,1.6,2.0,0,-2,UEFA,UEFA,0.54,0.54,0.0,0.9,0.6,0.30000000000000004
1998,Round of 16,2,Nigeria,Denmark,1,4,0,46,0.42857142857142855,0.3333333333333333,0.5,1.2,2.3333333333333335,0,0,CAF,UEFA,0.34,0.54,-0.2,0.5,0.8,-0.30000000000000004
1998,Round of 16,2,Netherlands,Yugoslavia,2,1,1,5,0.625,0.5,0.5,1.4,1.0,0,1,UEFA,UEFA,0.54,0.54,0.0,0.75,0.5,0.25
1998,Group G,0,Colombia,Tunisia,1,0,1,13,0.4,0.0,0.5,1.0,0.0,0,0,CONMEBOL,CAF,0.58,0.34,0.23999999999999994,0.45,0.85,-0.39999999999999997
1998,Round of 16,2,Germany,Mexico,2,1,1,-7,0.7142857142857143,0.3333333333333333,0.5,1.6,1.0,0,-2,UEFA,CONCACAF,0.54,0.38,0.16000000000000003,0.85,0.5,0.35
1998,Round of 16,2,France,Paraguay,1,0,1,-23,1.0,0.0,0.5,2.4,0.0,1,2,UEFA,CONMEBOL,0.54,0.58,-0.039999999999999925,0.7,0.35,0.35
1998,Quarter-finals,3,Netherlands,Argentina,2,1,1,6,0.625,0.7142857142857143,0.5,1.4,2.6,0,0,UEFA,CONMEBOL,0.54,0.58,-0.039999999999999925,0.75,0.7,0.050000000000000044
1998,Round of 16,2,Italy,Norway,1,0,1,-7,0.8571428571428571,0.3333333333333333,1.0,1.6,0.3333333333333333,0,0,UEFA,UEFA,0.54,0.54,0.0,0.6,0.75,-0.15000000000000002
2002,Final,5,Germany,Brazil,0,2,0,3,0.7692307692307693,0.8823529411764706,0.5,2.2,2.2,0,0,UEFA,CONMEBOL,0.54,0.58,-0.039999999999999925,0.75,0.6,0.15000000000000002
2002,Group C,0,Brazil,China PR,4,0,1,-62,0.8823529411764706,0.0,0.5,2.2,0.0,0,0,CONMEBOL,AFC,0.58,0.35,0.22999999999999998,0.6,0.8,-0.20000000000000007
2002,Group A,0,Denmark,France,2,0,1,10,0.5,0.8571428571428571,0.0,1.2,2.4,0,-3,UEFA,UEFA,0.54,0.54,0.0,0.75,0.75,0.0
2002,Group A,0,France,Senegal,0,1,0,-25,0.8571428571428571,0.5,0.5,2.4,1.0,0,2,UEFA,CAF,0.54,0.34,0.2,0.75,0.65,0.09999999999999998
2002,Group A,0,Uruguay,Denmark,1,2,0,16,0.5,0.5,0.5,1.3781362007168458,1.2,0,1,CONMEBOL,UEFA,0.58,0.54,0.039999999999999925,0.5,0.75,-0.25
2002,Group B,0,Slovenia,Paraguay,1,3,0,18,0.0,0.5,0.5,0.5,1.5,0,-1,UEFA,CONMEBOL,0.54,0.58,-0.039999999999999925,0.7,0.35,0.35
2002,Group B,0,South Africa,Slovenia,1,0,1,-6,0.5,0.0,0.5,0.5,0.5,0,0,CAF,UEFA,0.34,0.54,-0.2,0.55,0.7,-0.1499999999999999
2002,Group B,0,Spain,Paraguay,3,1,1,-15,0.7142857142857143,0.5,0.5,3.4,1.5,0,-1,UEFA,CONMEBOL,0.54,0.58,-0.039999999999999925,0.75,0.35,0.4
2002,Group B,0,Spain,Slovenia,3,1,1,-33,0.7142857142857143,0.0,0.5,3.4,0.5,0,0,UEFA,UEFA,0.54,0.54,0.0,0.75,0.7,0.050000000000000044
2002,Group C,0,Brazil,Turkey,2,1,1,-8,0.8823529411764706,0.8,0.5,2.2,1.6,0,0,CONMEBOL,UEFA,0.58,0.54,0.039999999999999925,0.6,0.7,-0.09999999999999998
2002,Group E,0,Cameroon,Germany,0,2,0,12,0.25,0.7692307692307693,0.5,0.5,2.2,0,0,CAF,UEFA,0.34,0.54,-0.2,0.55,0.75,-0.19999999999999996
2002,Group C,0,Costa Rica,Brazil,2,5,0,20,0.0,0.8823529411764706,0.5,2.0,2.2,0,0,CONCACAF,CONMEBOL,0.38,0.58,-0.19999999999999996,0.8,0.6,0.20000000000000007
2002,Group C,0,China PR,Costa Rica,0,2,0,42,0.0,0.0,0.5,0.0,2.0,0,0,AFC,CONCACAF,0.35,0.38,-0.030000000000000027,0.8,0.8,0.0
2002,Group E,0,Cameroon,Saudi Arabia,1,0,1,-22,0.25,0.25,0.5,0.5,0.2,0,0,CAF,AFC,0.34,0.35,-0.009999999999999953,0.55,0.6,-0.04999999999999993
2002,Group D,0,USA,Portugal,3,2,1,-1,0.3333333333333333,0.5,0.5,1.2,2.0,0,-1,CONCACAF,UEFA,0.38,0.54,-0.16000000000000003,0.45,0.8,-0.35000000000000003
2002,Group D,0,Portugal,Poland,4,0,1,-23,0.5,0.5,0.5,2.0,1.5,0,1,UEFA,UEFA,0.54,0.54,0.0,0.8,0.65,0.15000000000000002
2002,Group E,0,Germany,Saudi Arabia,8,0,1,-34,0.7692307692307693,0.25,0.5,2.2,0.2,0,0,UEFA,AFC,0.54,0.35,0.19000000000000006,0.75,0.6,0.15000000000000002
2002,Group D,0,Poland,USA,3,1,1,24,0.5,0.3333333333333333,0.5,1.5,1.2,0,0,UEFA,CONCACAF,0.54,0.38,0.16000000000000003,0.65,0.45,0.2
2002,Group D,0,Korea Republic,Poland,2,0,1,-14,0.2857142857142857,0.5,0.5,1.2,1.5,0,1,AFC,UEFA,0.35,0.54,-0.19000000000000006,0.6,0.65,-0.050000000000000044
2002,Group F,0,Argentina,England,0,1,0,-2,0.6666666666666666,0.6,0.5,1.8,1.8,0,1,CONMEBOL,UEFA,0.58,0.54,0.039999999999999925,0.85,0.8,0.04999999999999993
2002,Group D,0,Portugal,Korea Republic,0,1,0,-9,0.5,0.2857142857142857,0.5,2.0,1.2,0,0,UEFA,AFC,0.54,0.35,0.19000000000000006,0.8,0.6,0.20000000000000007
2002,Group B,0,South Africa,Spain,2,3,0,27,0.5,0.7142857142857143,0.5,0.5,3.4,0,0,CAF,UEFA,0.34,0.54,-0.2,0.55,0.75,-0.19999999999999996
2002,Group C,0,Turkey,China PR,3,0,1,-54,0.8,0.0,0.5,1.6,0.0,0,0,UEFA,AFC,0.54,0.35,0.19000000000000006,0.7,0.8,-0.10000000000000009
2002,Group E,0,Saudi Arabia,Republic of Ireland,0,3,0,24,0.25,0.3333333333333333,0.5,0.2,0.6666666666666666,0,0,AFC,UEFA,0.35,0.54,-0.19000000000000006,0.6,0.8,-0.20000000000000007
2002,Semi-finals,4,Germany,Korea Republic,1,0,1,-16,0.7692307692307693,0.2857142857142857,1.0,2.2,1.2,0,-1,UEFA,AFC,0.54,0.35,0.19000000000000006,0.75,0.6,0.15000000000000002
2002,Group F,0,Argentina,Nigeria,1,0,1,-24,0.6666666666666666,0.4444444444444444,1.0,1.8,1.4,0,1,CONMEBOL,CAF,0.58,0.34,0.23999999999999994,0.85,0.65,0.19999999999999996
2002,Group G,0,Croatia,Mexico,0,1,0,24,0.5555555555555556,0.5,0.5,1.0,1.2,0,0,UEFA,CONCACAF,0.54,0.38,0.16000000000000003,0.7,0.75,-0.050000000000000044
2002,Group H,0,Tunisia,Japan,0,2,0,19,0.0,0.2,0.5,0.0,0.4,0,-1,CAF,AFC,0.34,0.35,-0.009999999999999953,0.75,0.65,0.09999999999999998
2002,Group G,0,Ecuador,Croatia,1,0,1,-1,0.5,0.5555555555555556,0.5,0.5,1.0,0,-2,CONMEBOL,UEFA,0.58,0.54,0.039999999999999925,0.5,0.7,-0.19999999999999996
2002,Group G,0,Italy,Croatia,1,2,0,-19,0.8,0.5555555555555556,0.5,1.8,1.0,0,-2,UEFA,UEFA,0.54,0.54,0.0,0.8,0.7,0.10000000000000009
2002,Group G,0,Italy,Ecuador,2,0,1,-18,0.8,0.5,0.5,1.8,0.5,0,0,UEFA,CONMEBOL,0.54,0.58,-0.039999999999999925,0.8,0.5,0.30000000000000004
2002,Group G,0,Mexico,Ecuador,2,1,1,-23,0.5,0.5,0.5,1.2,0.5,0,2,CONCACAF,CONMEBOL,0.38,0.58,-0.19999999999999996,0.75,0.5,0.25
2002,Group H,0,Japan,Russia,1,0,1,-1,0.2,0.4,0.5,0.4,2.2,1,1,AFC,UEFA,0.35,0.54,-0.19000000000000006,0.65,0.75,-0.09999999999999998
2002,Group H,0,Russia,Tunisia,2,0,1,-18,0.4,0.0,0.5,2.2,0.0,0,0,UEFA,CAF,0.54,0.34,0.2,0.75,0.75,0.0
